狩猎编号,最低等级,怪物数量,需要时间,接取物品,接取数量,怪物经验,经验奖励物品,经验奖励数量,奖励物品,奖励数量
1,50,900,12,1,342000,200,91184,0,2303,0
2,50,1500,12,1,570000,40,91184,1,2303,1
3,50,2400,12,1,912000,100,91184,1,2303,2
4,50,3000,12,1,1140000,120,91184,1,2303,2
5,50,3600,12,1,1368000,135,91184,1,2303,2
6,50,900,12,1,576000,135,91184,1,2303,1
7,50,1500,12,1,960000,240,91184,1,2303,2
8,50,2400,12,1,1536000,300,91184,1,2303,2
9,50,3000,12,1,1920000,320,91184,1,2303,3
10,50,3600,12,1,2304000,335,91184,1,2303,4
11,50,900,12,1,702000,335,91184,1,2303,1
12,50,1500,12,1,1170000,440,91184,1,2303,2
13,50,2400,12,1,1872000,500,91184,1,2303,3
14,50,3000,12,1,2340000,520,91184,1,2303,4
15,50,3600,12,1,2808000,535,91184,1,2303,4
16,50,900,12,1,540000,220,91184,2,2301,1
17,50,1500,12,1,900000,430,91184,2,2301,2
18,50,2400,12,1,1440000,550,91184,2,2301,3
19,50,3000,12,1,1800000,590,91184,2,2301,4
20,50,3600,12,1,2160000,620,91184,2,2301,4
21,50,900,12,1,1080000,400,91184,3,2301,2
22,50,1500,12,1,1800000,720,91184,3,2301,3
23,50,2400,12,1,2880000,900,91184,3,2301,4
24,50,3000,12,1,3600000,960,91184,3,2301,6
25,50,3600,12,1,4320000,1000,91184,3,2301,7
151,50,900,12,1,157500,200,91184,0,2303,0
152,50,1500,12,1,270000,200,91184,0,2303,1
153,50,2400,12,1,450000,200,91184,0,2303,2
154,50,3000,12,1,562500,200,91184,0,2303,2
155,50,3600,12,1,675000,200,91184,0,2303,2
156,50,900,12,1,270000,400,91184,0,2303,1
157,50,1500,12,1,472500,400,91184,0,2303,2
158,50,2400,12,1,765000,250,91184,1,2303,2
159,50,3000,12,1,945000,280,91184,1,2303,3
160,50,3600,12,1,1147500,300,91184,1,2303,4
161,50,900,12,1,337500,600,91184,0,2303,1
162,50,1500,12,1,585000,600,91184,0,2303,2
163,50,2400,12,1,922500,450,91184,1,2303,3
164,50,3000,12,1,1170000,480,91184,1,2303,4
165,50,3600,12,1,1395000,500,91184,1,2303,4
166,50,900,12,1,270000,750,91184,0,2301,1
167,50,1500,12,1,450000,510,91184,1,2301,2
168,50,2400,12,1,720000,450,91184,2,2301,3
169,50,3000,12,1,900000,510,91184,2,2301,4
170,50,3600,12,1,1080000,550,91184,2,2301,4
171,50,900,12,1,540000,800,91184,1,2301,2
172,50,1500,12,1,900000,720,91184,2,2301,3
173,50,2400,12,1,1440000,900,91184,2,2301,4
174,50,3000,12,1,1800000,840,91184,3,2301,6
175,50,3600,12,1,2160000,900,91184,3,2301,7
180,50,6000,6,1,5400000,930,91184,3,2301,6
181,50,6000,6,1,5400000,930,91184,3,2301,6
182,50,6000,6,1,5400000,930,91184,3,2301,6
183,50,7200,6,1,6480000,950,91184,3,2301,7
184,50,7200,6,1,6480000,950,91184,3,2301,7
185,50,7200,6,1,6480000,950,91184,3,2301,7
201,40,900,12,2314,3,300,91184,0,2303,0
202,40,1500,12,2314,5,60,91184,1,2303,1
203,40,2400,12,2314,8,150,91184,1,2303,2
204,40,3000,12,2314,10,180,91184,1,2303,2
205,40,3600,12,2314,12,200,91184,1,2303,2
206,40,900,12,2314,5,200,91184,1,2303,1
207,40,1500,12,2314,8,360,91184,1,2303,2
208,40,2400,12,2314,13,450,91184,1,2303,2
209,40,3000,12,2314,16,480,91184,1,2303,3
210,40,3600,12,2314,20,500,91184,1,2303,4
211,40,900,12,2314,6,500,91184,1,2303,1
212,40,1500,12,2314,10,660,91184,1,2303,2
213,40,2400,12,2314,16,750,91184,1,2303,3
214,40,3000,12,2314,20,780,91184,1,2303,4
215,40,3600,12,2314,24,800,91184,1,2303,4
216,40,900,12,2314,5,330,91184,2,2301,1
217,40,1500,12,2314,8,645,91184,2,2301,2
218,40,2400,12,2314,12,825,91184,2,2301,3
219,40,3000,12,2314,15,885,91184,2,2301,4
220,40,3600,12,2314,18,930,91184,2,2301,4
221,40,900,12,2314,9,600,91184,3,2301,2
222,40,1500,12,2314,15,1080,91184,3,2301,3
223,40,2400,12,2314,24,1350,91184,3,2301,4
224,40,3000,12,2314,31,1440,91184,3,2301,6
225,40,3600,12,2314,37,1500,91184,3,2301,7
226,40,6000,6,2314,46,1395,91184,3,2301,6
227,40,6000,6,2314,46,1395,91184,3,2301,6
228,40,6000,6,2314,46,1395,91184,3,2301,6
229,40,7200,6,2314,55,1425,91184,3,2301,7
230,40,7200,6,2314,55,1425,91184,3,2301,7
231,40,7200,6,2314,55,1425,91184,3,2301,7
